date,education,skill,entertainment,selfDevelopment,sleep,currentLoggedInUser
01/07/2021,0.00,0.00,0.00,0.00,429.42,hhANBj74wiclvfuDLGfuDlFZgJ62
02/07/2021,420.00,0.00,0.00,0.00,418.20,hhANBj74wiclvfuDLGfuDlFZgJ62
03/07/2021,0.00,0.00,0.00,0.00,418.53,hhANBj74wiclvfuDLGfuDlFZgJ62
04/07/2021,186.00,0.00,0.00,0.00,420.01,hhANBj74wiclvfuDLGfuDlFZgJ62
05/07/2021,425.00,0.00,0.00,0.00,421.07,hhANBj74wiclvfuDLGfuDlFZgJ62
06/07/2021,180.00,0.00,0.00,0.00,421.90,hhANBj74wiclvfuDLGfuDlFZgJ62
07/07/2021,0.00,0.00,0.00,0.00,421.24,hhANBj74wiclvfuDLGfuDlFZgJ62
08/07/2021,214.39,0.00,0.00,0.00,422.11,hhANBj74wiclvfuDLGfuDlFZgJ62
09/07/2021,95.00,0.00,0.00,0.00,422.98,hhANBj74wiclvfuDLGfuDlFZgJ62
10/07/2021,137.61,0.00,0.00,0.00,423.27,hhANBj74wiclvfuDLGfuDlFZgJ62
11/07/2021,96.00,0.00,0.00,0.00,424.23,hhANBj74wiclvfuDLGfuDlFZgJ62
12/07/2021,345.00,0.00,0.00,35.00,424.36,hhANBj74wiclvfuDLGfuDlFZgJ62
13/07/2021,300.00,60.00,0.00,25.00,425.22,hhANBj74wiclvfuDLGfuDlFZgJ62
14/07/2021,483.00,0.00,0.00,60.00,426.29,hhANBj74wiclvfuDLGfuDlFZgJ62
15/07/2021,543.00,0.00,0.00,0.00,426.74,hhANBj74wiclvfuDLGfuDlFZgJ62
16/07/2021,554.00,0.00,0.00,0.00,427.38,hhANBj74wiclvfuDLGfuDlFZgJ62
17/07/2021,0.00,0.00,0.00,0.00,426.78,hhANBj74wiclvfuDLGfuDlFZgJ62
18/07/2021,335.00,0.00,0.00,0.00,427.72,hhANBj74wiclvfuDLGfuDlFZgJ62
19/07/2021,416.00,60.00,0.00,0.00,426.85,hhANBj74wiclvfuDLGfuDlFZgJ62
20/07/2021,424.00,0.00,0.00,0.00,428.29,hhANBj74wiclvfuDLGfuDlFZgJ62
21/07/2021,468.00,0.00,0.00,30.00,427.69,hhANBj74wiclvfuDLGfuDlFZgJ62
22/07/2021,305.00,39.00,0.00,60.00,426.84,hhANBj74wiclvfuDLGfuDlFZgJ62
23/07/2021,398.00,0.00,0.00,0.00,428.09,hhANBj74wiclvfuDLGfuDlFZgJ62
24/07/2021,220.00,0.00,0.00,10.00,428.61,hhANBj74wiclvfuDLGfuDlFZgJ62
25/07/2021,208.00,0.00,0.00,0.00,427.96,hhANBj74wiclvfuDLGfuDlFZgJ62
26/07/2021,472.00,42.00,0.00,76.00,428.51,hhANBj74wiclvfuDLGfuDlFZgJ62
27/07/2021,424.00,0.00,0.00,27.00,429.40,hhANBj74wiclvfuDLGfuDlFZgJ62
28/07/2021,342.00,0.00,0.00,0.00,429.46,hhANBj74wiclvfuDLGfuDlFZgJ62
29/07/2021,387.00,0.00,48.52,0.00,430.05,hhANBj74wiclvfuDLGfuDlFZgJ62
30/07/2021,41.00,100.19,119.23,0.00,431.36,hhANBj74wiclvfuDLGfuDlFZgJ62
31/07/2021,438.00,80.00,23.57,40.00,431.75,hhANBj74wiclvfuDLGfuDlFZgJ62
01/08/2021,504.00,127.00,56.21,0.00,432.91,hhANBj74wiclvfuDLGfuDlFZgJ62
02/08/2021,135.00,130.00,118.66,43.56,432.44,hhANBj74wiclvfuDLGfuDlFZgJ62
03/08/2021,471.01,92.27,120.07,0.00,431.79,hhANBj74wiclvfuDLGfuDlFZgJ62
04/08/2021,318.00,243.61,99.26,20.00,430.54,hhANBj74wiclvfuDLGfuDlFZgJ62
05/08/2021,459.45,208.57,85.89,0.00,431.14,hhANBj74wiclvfuDLGfuDlFZgJ62
06/08/2021,483.95,100.55,87.11,0.00,431.10,hhANBj74wiclvfuDLGfuDlFZgJ62
07/08/2021,471.00,88.46,147.52,0.00,431.26,hhANBj74wiclvfuDLGfuDlFZgJ62
08/08/2021,174.49,93.32,96.57,60.00,431.86,hhANBj74wiclvfuDLGfuDlFZgJ62
09/08/2021,365.00,51.41,128.11,20.00,431.38,hhANBj74wiclvfuDLGfuDlFZgJ62
10/08/2021,61.00,134.92,49.26,40.36,431.41,hhANBj74wiclvfuDLGfuDlFZgJ62
11/08/2021,477.25,72.73,111.26,30.34,432.26,hhANBj74wiclvfuDLGfuDlFZgJ62
12/08/2021,282.91,102.67,274.81,54.54,431.54,hhANBj74wiclvfuDLGfuDlFZgJ62
13/08/2021,239.00,110.32,134.22,3.74,432.08,hhANBj74wiclvfuDLGfuDlFZgJ62
14/08/2021,385.26,84.38,235.66,0.00,432.84,hhANBj74wiclvfuDLGfuDlFZgJ62
15/08/2021,0.00,268.30,298.81,60.00,434.03,hhANBj74wiclvfuDLGfuDlFZgJ62
16/08/2021,314.00,49.50,114.22,60.00,434.83,hhANBj74wiclvfuDLGfuDlFZgJ62
17/08/2021,255.00,120.47,102.33,60.00,434.44,hhANBj74wiclvfuDLGfuDlFZgJ62
18/08/2021,138.00,155.41,250.22,0.00,435.49,hhANBj74wiclvfuDLGfuDlFZgJ62
19/08/2021,0.00,0.00,689.92,0.00,435.79,hhANBj74wiclvfuDLGfuDlFZgJ62
20/08/2021,0.00,108.37,294.00,0.00,436.57,hhANBj74wiclvfuDLGfuDlFZgJ62
21/08/2021,0.00,0.00,519.00,0.00,437.19,hhANBj74wiclvfuDLGfuDlFZgJ62
22/08/2021,0.00,0.00,237.44,0.00,438.02,hhANBj74wiclvfuDLGfuDlFZgJ62
23/08/2021,400.00,66.50,172.97,0.00,438.44,hhANBj74wiclvfuDLGfuDlFZgJ62
24/08/2021,217.00,98.76,356.28,60.00,438.59,hhANBj74wiclvfuDLGfuDlFZgJ62
25/08/2021,246.00,64.85,329.78,62.00,440.45,hhANBj74wiclvfuDLGfuDlFZgJ62
26/08/2021,30.00,0.00,439.54,0.00,442.01,hhANBj74wiclvfuDLGfuDlFZgJ62
27/08/2021,0.00,0.00,740.87,0.00,442.84,hhANBj74wiclvfuDLGfuDlFZgJ62
28/08/2021,0.00,55.45,102.21,256.30,443.51,hhANBj74wiclvfuDLGfuDlFZgJ62
