date,mainCategoryName,subcategoryName,timeRecorded,timeSpent,currentLoggedInUser
2021-07-01,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-01,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-01,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-01,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-01,Sleep,Sleep,N/A,429.4209136722418,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-01,Education,Studied/Revised,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-02,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-02,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-02,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-02,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-02,Sleep,Sleep,N/A,418.1972385334832,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-02,Education,Studied/Revised,N/A,420.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-03,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-03,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-03,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-03,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-03,Sleep,Sleep,N/A,418.52883112607566,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-03,Education,Studied/Revised,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-04,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-04,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-04,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-04,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-04,Sleep,Sleep,N/A,420.0147570520015,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-04,Education,Studied/Revised,N/A,186.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-05,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-05,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-05,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-05,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-05,Sleep,Sleep,N/A,421.06738668163115,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-05,Education,Studied/Revised,N/A,425.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-06,Skills,English Comms,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-06,Skills,Programming,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-06,Self Development,Reading,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
2021-07-06,Entertainment,SM/Anime/MM,N/A,0.0,hhANBj74wiclvfuDLGfuDlFZgJ62
