currentLoggedInUser,subcategoryName,mainCategoryName,isActive,isArchive,dateCreated
hhANBj74wiclvfuDLGfuDlFZgJ62,Studied/Revised,Education,0,0,1/7/2021
hhANBj74wiclvfuDLGfuDlFZgJ62,English Comms,Skills,0,0,1/7/2021
hhANBj74wiclvfuDLGfuDlFZgJ62,Programming,Skills,0,0,1/7/2021
hhANBj74wiclvfuDLGfuDlFZgJ62,SM/Anime/MM,Entertainment,0,0,1/7/2021
hhANBj74wiclvfuDLGfuDlFZgJ62,Reading,Self Development,0,0,1/7/2021
hhANBj74wiclvfuDLGfuDlFZgJ62,Sleep,Sleep,0,0,1/7/2021
hhANBj74wiclvfuDLGfuDlFZgJ62,Exercise,Self Development,0,0,1/8/2021
hhANBj74wiclvfuDLGfuDlFZgJ62,Video Games,Entertainment,0,0,1/8/2021
hhANBj74wiclvfuDLGfuDlFZgJ62,Spanish Comms,Skills,0,0,1/9/2021
hhANBj74wiclvfuDLGfuDlFZgJ62,Journaling,Self Development,0,0,1/10/2021
hhANBj74wiclvfuDLGfuDlFZgJ62,Lec/Exams/Assign,Education,0,0,1/10/2021
hhANBj74wiclvfuDLGfuDlFZgJ62,UX/UI,Skills,0,0,1/12/2021
hhANBj74wiclvfuDLGfuDlFZgJ62,Google DA Certificate,Skills,0,0,1/5/2022
hhANBj74wiclvfuDLGfuDlFZgJ62,Meditation,Self Development,0,0,1/2/2023
hhANBj74wiclvfuDLGfuDlFZgJ62,German,Skills,0,0,1/9/2023
hhANBj74wiclvfuDLGfuDlFZgJ62,Data Science,Skills,0,0,1/2/2024
hhANBj74wiclvfuDLGfuDlFZgJ62,SQL,Skills,0,0,1/3/2024
hhANBj74wiclvfuDLGfuDlFZgJ62,Bible Study,Self Development,0,0,1/9/2024
hhANBj74wiclvfuDLGfuDlFZgJ62,Video Editing,Skills,0,0,9/12/2024
hhANBj74wiclvfuDLGfuDlFZgJ62,Case Practice,Skills,0,0,5/15/2025
hhANBj74wiclvfuDLGfuDlFZgJ62,Mental Math,Skills,0,0,5/15/2025
hhANBj74wiclvfuDLGfuDlFZgJ62,Tennis,Self Development,0,0,9/20/2025
hhANBj74wiclvfuDLGfuDlFZgJ62,Graphic Design,Skills,0,0,3/9/2026
hhANBj74wiclvfuDLGfuDlFZgJ62,Chess,Skills,0,0,5/6/2026
hhANBj74wiclvfuDLGfuDlFZgJ62,Interview Prep,Skills,0,0,5/26/2026
hhANBj74wiclvfuDLGfuDlFZgJ62,Aptitude Practice,Skills,0,0,5/2/2026
hhANBj74wiclvfuDLGfuDlFZgJ62,AI-Assisted Development,Skills,0,0,6/4/2026
