date,education,skill,entertainment,selfDevelopment,sleep,currentLoggedInUser
7/1/2021,0,0,0,0,429.4209137,hhANBj74wiclvfuDLGfuDlFZgJ62
7/2/2021,420,0,0,0,418.1972385,hhANBj74wiclvfuDLGfuDlFZgJ62
7/3/2021,0,0,0,0,418.5288311,hhANBj74wiclvfuDLGfuDlFZgJ62
7/4/2021,186,0,0,0,420.0147571,hhANBj74wiclvfuDLGfuDlFZgJ62
7/5/2021,425,0,0,0,421.0673867,hhANBj74wiclvfuDLGfuDlFZgJ62
7/6/2021,180,0,0,0,421.9047941,hhANBj74wiclvfuDLGfuDlFZgJ62
7/7/2021,0,0,0,0,421.2355348,hhANBj74wiclvfuDLGfuDlFZgJ62
7/8/2021,214.39,0,0,0,422.1069052,hhANBj74wiclvfuDLGfuDlFZgJ62
7/9/2021,95,0,0,0,422.979683,hhANBj74wiclvfuDLGfuDlFZgJ62
7/10/2021,137.61,0,0,0,423.2653867,hhANBj74wiclvfuDLGfuDlFZgJ62
7/11/2021,96,0,0,0,424.2278311,hhANBj74wiclvfuDLGfuDlFZgJ62
7/12/2021,345,0,0,35,424.3623533,hhANBj74wiclvfuDLGfuDlFZgJ62
7/13/2021,300,60,0,25,425.22402,hhANBj74wiclvfuDLGfuDlFZgJ62
7/14/2021,483,0,0,60,426.2859459,hhANBj74wiclvfuDLGfuDlFZgJ62
7/15/2021,543,0,0,0,426.7408595,hhANBj74wiclvfuDLGfuDlFZgJ62
7/16/2021,554,0,0,0,427.3766373,hhANBj74wiclvfuDLGfuDlFZgJ62
7/17/2021,0,0,0,0,426.7771929,hhANBj74wiclvfuDLGfuDlFZgJ62
7/18/2021,335,0,0,0,427.715304,hhANBj74wiclvfuDLGfuDlFZgJ62
7/19/2021,416,60,0,0,426.8456743,hhANBj74wiclvfuDLGfuDlFZgJ62
7/20/2021,424,0,0,0,428.2894521,hhANBj74wiclvfuDLGfuDlFZgJ62
7/21/2021,468,0,0,30,427.6855632,hhANBj74wiclvfuDLGfuDlFZgJ62
7/22/2021,305,39,0,60,426.8357114,hhANBj74wiclvfuDLGfuDlFZgJ62
7/23/2021,398,0,0,0,428.091304,hhANBj74wiclvfuDLGfuDlFZgJ62
7/24/2021,220,0,0,10,428.610304,hhANBj74wiclvfuDLGfuDlFZgJ62
7/25/2021,208,0,0,0,427.9566003,hhANBj74wiclvfuDLGfuDlFZgJ62
7/26/2021,472,42,0,76,428.5104892,hhANBj74wiclvfuDLGfuDlFZgJ62
7/27/2021,424,0,0,27,429.4021558,hhANBj74wiclvfuDLGfuDlFZgJ62
7/28/2021,342,0,0,0,429.4625262,hhANBj74wiclvfuDLGfuDlFZgJ62
7/29/2021,387,0,48.52,0,430.0489459,hhANBj74wiclvfuDLGfuDlFZgJ62
7/30/2021,41,100.19,119.23,0,431.355983,hhANBj74wiclvfuDLGfuDlFZgJ62
