date,mainCategoryName,subcategoryName,timeSpent,currentLoggedInUser
7/1/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/1/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/1/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/1/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/1/2021,Sleep,Sleep,429.4209137,hhANBj74wiclvfuDLGfuDlFZgJ62
7/1/2021,Education,Studied/Revised,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/2/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/2/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/2/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/2/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/2/2021,Sleep,Sleep,418.1972385,hhANBj74wiclvfuDLGfuDlFZgJ62
7/2/2021,Education,Studied/Revised,420,hhANBj74wiclvfuDLGfuDlFZgJ62
7/3/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/3/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/3/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/3/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/3/2021,Sleep,Sleep,418.5288311,hhANBj74wiclvfuDLGfuDlFZgJ62
7/3/2021,Education,Studied/Revised,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/4/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/4/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/4/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/4/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/4/2021,Sleep,Sleep,420.0147571,hhANBj74wiclvfuDLGfuDlFZgJ62
7/4/2021,Education,Studied/Revised,186,hhANBj74wiclvfuDLGfuDlFZgJ62
7/5/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/5/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/5/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/5/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/5/2021,Sleep,Sleep,421.0673867,hhANBj74wiclvfuDLGfuDlFZgJ62
7/5/2021,Education,Studied/Revised,425,hhANBj74wiclvfuDLGfuDlFZgJ62
7/6/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/6/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/6/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/6/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/6/2021,Sleep,Sleep,421.9047941,hhANBj74wiclvfuDLGfuDlFZgJ62
7/6/2021,Education,Studied/Revised,180,hhANBj74wiclvfuDLGfuDlFZgJ62
7/7/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/7/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/7/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/7/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/7/2021,Sleep,Sleep,421.2355348,hhANBj74wiclvfuDLGfuDlFZgJ62
7/7/2021,Education,Studied/Revised,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/8/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/8/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/8/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/8/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/8/2021,Sleep,Sleep,422.1069052,hhANBj74wiclvfuDLGfuDlFZgJ62
7/8/2021,Education,Studied/Revised,214.39,hhANBj74wiclvfuDLGfuDlFZgJ62
7/9/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/9/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/9/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/9/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/9/2021,Sleep,Sleep,422.979683,hhANBj74wiclvfuDLGfuDlFZgJ62
7/9/2021,Education,Studied/Revised,95,hhANBj74wiclvfuDLGfuDlFZgJ62
7/10/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/10/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/10/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/10/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/10/2021,Sleep,Sleep,423.2653867,hhANBj74wiclvfuDLGfuDlFZgJ62
7/10/2021,Education,Studied/Revised,137.61,hhANBj74wiclvfuDLGfuDlFZgJ62
7/11/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/11/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/11/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/11/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/11/2021,Sleep,Sleep,424.2278311,hhANBj74wiclvfuDLGfuDlFZgJ62
7/11/2021,Education,Studied/Revised,96,hhANBj74wiclvfuDLGfuDlFZgJ62
7/12/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/12/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/12/2021,Self Development,Reading,35,hhANBj74wiclvfuDLGfuDlFZgJ62
7/12/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/12/2021,Sleep,Sleep,424.3623533,hhANBj74wiclvfuDLGfuDlFZgJ62
7/12/2021,Education,Studied/Revised,345,hhANBj74wiclvfuDLGfuDlFZgJ62
7/13/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/13/2021,Skills,Programming,60,hhANBj74wiclvfuDLGfuDlFZgJ62
7/13/2021,Self Development,Reading,25,hhANBj74wiclvfuDLGfuDlFZgJ62
7/13/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/13/2021,Sleep,Sleep,425.22402,hhANBj74wiclvfuDLGfuDlFZgJ62
7/13/2021,Education,Studied/Revised,300,hhANBj74wiclvfuDLGfuDlFZgJ62
7/14/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/14/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/14/2021,Self Development,Reading,60,hhANBj74wiclvfuDLGfuDlFZgJ62
7/14/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/14/2021,Sleep,Sleep,426.2859459,hhANBj74wiclvfuDLGfuDlFZgJ62
7/14/2021,Education,Studied/Revised,483,hhANBj74wiclvfuDLGfuDlFZgJ62
7/15/2021,Skills,English Comms,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/15/2021,Skills,Programming,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/15/2021,Self Development,Reading,0,hhANBj74wiclvfuDLGfuDlFZgJ62
7/15/2021,Entertainment,SM/Anime/MM,0,hhANBj74wiclvfuDLGfuDlFZgJ62
